original_text,normalized_word_text,dict_word,dict_lang,fuzzy_word,fuzzy_lang,fuzzy_confidence,checked_text,checked_lang,lemmatized_text,polarity_score,polarity_label,status,error_message
Babaza,babaza,,Unknown,babata,Swahili,83.33333333333334,babata,Swahili,,0.0,,pending_gpu,
angiri,angiri,,Unknown,ngiri,Swahili,90.9090909090909,ngiri,Swahili,,0.0,,pending_gpu,
nyooo,nyooo,,Unknown,mnyoo,Swahili,80.0,mnyoo,Swahili,,0.0,,pending_gpu,
nyoo,nyoo,,Unknown,mnyoo,Swahili,88.88888888888889,mnyoo,Swahili,,0.0,,pending_gpu,
bitufu,bitufu,,Unknown,biuu,Swahili,80.0,biuu,Swahili,,0.0,,pending_gpu,
nyoo,nyoo,,Unknown,mnyoo,Swahili,88.88888888888889,mnyoo,Swahili,,0.0,,pending_gpu,
omu,omu,,Unknown,homu,Swahili,85.71428571428572,homu,Swahili,,0.0,,pending_gpu,
tabba,tabba,,Unknown,taba,Swahili,88.88888888888889,taba,Swahili,,0.0,,pending_gpu,
kalina,kalina,,Unknown,kalia,Swahili,90.9090909090909,kalia,Swahili,,0.0,,pending_gpu,
mwekali,mwekali,,Unknown,mwekaji,Swahili,85.71428571428572,mwekaji,Swahili,,0.0,,pending_gpu,
wakaabi,wakaabi,,Unknown,wakaa,Swahili,83.33333333333334,wakaa,Swahili,,0.0,,pending_gpu,
mwe,mwe,,Unknown,mbwe,Swahili,85.71428571428572,mbwe,Swahili,,0.0,,pending_gpu,
mweyogeza,mweyogeza,,Unknown,mwegea,Swahili,80.0,mwegea,Swahili,,0.0,,pending_gpu,
habib,habib,,Unknown,habibu,Swahili,90.9090909090909,habibu,Swahili,,0.0,,pending_gpu,
daara,daara,,Unknown,dara,Swahili,88.88888888888889,dara,Swahili,,0.0,,pending_gpu,
nyoo,nyoo,,Unknown,mnyoo,Swahili,88.88888888888889,mnyoo,Swahili,,0.0,,pending_gpu,
tuli,tuli,tuli,Swahili,,,0.0,tuli,Swahili,,0.0,,pending_gpu,
munywa,munywa,,Unknown,munya,Swahili,90.9090909090909,munya,Swahili,,0.0,,pending_gpu,
namba,namba,namba,Swahili,,,0.0,namba,Swahili,,0.0,,pending_gpu,
Ono,ono,Ono,Swahili,,,0.0,Ono,Swahili,,0.0,,pending_gpu,
wama,wama,,Unknown,wamba,Swahili,88.88888888888889,wamba,Swahili,,0.0,,pending_gpu,
rwanda,rwanda,,Unknown,randa,Swahili,90.9090909090909,randa,Swahili,,0.0,,pending_gpu,
Rwanda,rwanda,,Unknown,randa,Swahili,90.9090909090909,randa,Swahili,,0.0,,pending_gpu,
Diogo,diogo,,Unknown,dogo,Swahili,88.88888888888889,dogo,Swahili,,0.0,,pending_gpu,
mzee,mzee,mzee,Swahili,,,0.0,mzee,Swahili,,0.0,,pending_gpu,
wao,wao,wao,Swahili,,,0.0,wao,Swahili,,0.0,,pending_gpu,
kikoppo,kikoppo,,Unknown,kikopo,Swahili,92.3076923076923,kikopo,Swahili,,0.0,,pending_gpu,
dadi,dadi,,Unknown,idadi,Swahili,88.88888888888889,idadi,Swahili,,0.0,,pending_gpu,
bahayindi,bahayindi,,Unknown,bayini,Swahili,80.0,bayini,Swahili,,0.0,,pending_gpu,
feffe,feffe,,Unknown,fefe,Swahili,88.88888888888889,fefe,Swahili,,0.0,,pending_gpu,
Asia,asia,,Unknown,pasia,Swahili,88.88888888888889,pasia,Swahili,,0.0,,pending_gpu,
dungu,dungu,dungu,Swahili,,,0.0,dungu,Swahili,,0.0,,pending_gpu,
Yasin,yasin,,Unknown,yasini,Swahili,90.9090909090909,yasini,Swahili,,0.0,,pending_gpu,
Yasin,yasin,,Unknown,yasini,Swahili,90.9090909090909,yasini,Swahili,,0.0,,pending_gpu,
mpa,mpa,,Unknown,mpua,Swahili,85.71428571428572,mpua,Swahili,,0.0,,pending_gpu,
Dungu,dungu,Dungu,Swahili,,,0.0,Dungu,Swahili,,0.0,,pending_gpu,
dungu,dungu,dungu,Swahili,,,0.0,dungu,Swahili,,0.0,,pending_gpu,
Muna,muna,Muna,Swahili,,,0.0,Muna,Swahili,,0.0,,pending_gpu,
Ntambi,ntambi,,Unknown,utambi,Swahili,83.33333333333334,utambi,Swahili,,0.0,,pending_gpu,
kalanza,kalanza,,Unknown,kaanza,Swahili,92.3076923076923,kaanza,Swahili,,0.0,,pending_gpu,
kasule,kasule,,Unknown,kaule,Swahili,90.9090909090909,kaule,Swahili,,0.0,,pending_gpu,
Dungu,dungu,Dungu,Swahili,,,0.0,Dungu,Swahili,,0.0,,pending_gpu,
masaka,masaka,,Unknown,mashtaka,Swahili,85.71428571428572,mashtaka,Swahili,,0.0,,pending_gpu,
faza,faza,,Unknown,fazaa,Swahili,88.88888888888889,fazaa,Swahili,,0.0,,pending_gpu,
ogwa,ogwa,,Unknown,hogwa,Swahili,88.88888888888889,hogwa,Swahili,,0.0,,pending_gpu,
ntambi,ntambi,,Unknown,utambi,Swahili,83.33333333333334,utambi,Swahili,,0.0,,pending_gpu,
Mityana,mityana,,Unknown,miyaa,Swahili,83.33333333333334,miyaa,Swahili,,0.0,,pending_gpu,
naawe,naawe,,Unknown,nawe,Swahili,88.88888888888889,nawe,Swahili,,0.0,,pending_gpu,
KAGIMU,kagimu,,Unknown,kasimu,Swahili,83.33333333333334,kasimu,Swahili,,0.0,,pending_gpu,
Jodi,jodi,,Unknown,jodari,Swahili,80.0,jodari,Swahili,,0.0,,pending_gpu,
muna,muna,muna,Swahili,,,0.0,muna,Swahili,,0.0,,pending_gpu,
Ndungu,ndungu,,Unknown,ndugu,Swahili,90.9090909090909,ndugu,Swahili,,0.0,,pending_gpu,
bingwa,bingwa,bingwa,Swahili,,,0.0,bingwa,Swahili,,0.0,,pending_gpu,
kakyakya,kakyakya,,Unknown,kakaka,Swahili,85.71428571428572,kakaka,Swahili,,0.0,,pending_gpu,
dungu,dungu,dungu,Swahili,,,0.0,dungu,Swahili,,0.0,,pending_gpu,
pakwach,pakwach,,Unknown,pakacha,Swahili,85.71428571428572,pakacha,Swahili,,0.0,,pending_gpu,
wama,wama,,Unknown,wamba,Swahili,88.88888888888889,wamba,Swahili,,0.0,,pending_gpu,
musonga,musonga,,Unknown,msonga,Swahili,92.3076923076923,msonga,Swahili,,0.0,,pending_gpu,
yaaaa,yaaaa,,Unknown,aagaa,Swahili,80.0,aagaa,Swahili,,0.0,,pending_gpu,
migoni,migoni,,Unknown,mgoni,Swahili,90.9090909090909,mgoni,Swahili,,0.0,,pending_gpu,
pakwach,pakwach,,Unknown,pakacha,Swahili,85.71428571428572,pakacha,Swahili,,0.0,,pending_gpu,
masaka,masaka,,Unknown,mashtaka,Swahili,85.71428571428572,mashtaka,Swahili,,0.0,,pending_gpu,
musoga,musoga,,Unknown,msonga,Swahili,83.33333333333334,msonga,Swahili,,0.0,,pending_gpu,
wadawa,wadawa,,Unknown,adawa,Swahili,90.9090909090909,adawa,Swahili,,0.0,,pending_gpu,
Bbosa,bbosa,,Unknown,boosa,Swahili,80.0,boosa,Swahili,,0.0,,pending_gpu,
Kigongo,kigongo,,Unknown,gongo,Swahili,83.33333333333334,gongo,Swahili,,0.0,,pending_gpu,
eddubu,eddubu,,Unknown,dubu,Swahili,80.0,dubu,Swahili,,0.0,,pending_gpu,
aliwa,aliwa,,Unknown,kaliwa,Swahili,90.9090909090909,kaliwa,Swahili,,0.0,,pending_gpu,
kumbuliza,kumbuliza,,Unknown,tumbulia,Swahili,82.35294117647058,tumbulia,Swahili,,0.0,,pending_gpu,
nyamba,nyamba,,Unknown,namba,Swahili,90.9090909090909,namba,Swahili,,0.0,,pending_gpu,
Sandra,sandra,,Unknown,sanda,Swahili,90.9090909090909,sanda,Swahili,,0.0,,pending_gpu,
waa,waa,waa,Swahili,,,0.0,waa,Swahili,,0.0,,pending_gpu,
Sandra,sandra,,Unknown,sanda,Swahili,90.9090909090909,sanda,Swahili,,0.0,,pending_gpu,
bitufu,bitufu,,Unknown,biuu,Swahili,80.0,biuu,Swahili,,0.0,,pending_gpu,
talimu,talimu,,Unknown,taslimu,Swahili,92.3076923076923,taslimu,Swahili,,0.0,,pending_gpu,
Kabuye,kabuye,,Unknown,kabe,Swahili,80.0,kabe,Swahili,,0.0,,pending_gpu,
"mwenyewe,hii","mwenyewe,hii",,Unknown,mwenyewe,Swahili,80.0,mwenyewe,Swahili,,0.0,,pending_gpu,
bwensi,bwensi,,Unknown,bweni,Swahili,90.9090909090909,bweni,Swahili,,0.0,,pending_gpu,
FUNTULA,funtula,,Unknown,futua,Swahili,83.33333333333334,futua,Swahili,,0.0,,pending_gpu,
nawe,nawe,nawe,Swahili,,,0.0,nawe,Swahili,,0.0,,pending_gpu,
soro,soro,soro,Swahili,,,0.0,soro,Swahili,,0.0,,pending_gpu,
soro,soro,soro,Swahili,,,0.0,soro,Swahili,,0.0,,pending_gpu,
mpa,mpa,,Unknown,mpua,Swahili,85.71428571428572,mpua,Swahili,,0.0,,pending_gpu,
nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
yewa,yewa,,Unknown,nyewa,Swahili,88.88888888888889,nyewa,Swahili,,0.0,,pending_gpu,
bano,bano,bano,Swahili,,,0.0,bano,Swahili,,0.0,,pending_gpu,
okwoota,okwoota,,Unknown,okota,Swahili,83.33333333333334,okota,Swahili,,0.0,,pending_gpu,
abaali,abaali,,Unknown,kabali,Swahili,83.33333333333334,kabali,Swahili,,0.0,,pending_gpu,
emasaka,emasaka,,Unknown,mashtaka,Swahili,80.0,mashtaka,Swahili,,0.0,,pending_gpu,
nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
Nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
Nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
ayogeza,ayogeza,,Unknown,nyongeza,Swahili,80.0,nyongeza,Swahili,,0.0,,pending_gpu,
Nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
nyenya,nyenya,nyenya,Swahili,,,0.0,nyenya,Swahili,,0.0,,pending_gpu,
nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
Nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
mubutobwe,mubutobwe,,Unknown,mtobwe,Swahili,80.0,mtobwe,Swahili,,0.0,,pending_gpu,
mbu,mbu,,Unknown,umbu,Swahili,85.71428571428572,umbu,Swahili,,0.0,,pending_gpu,
bakozi,bakozi,,Unknown,kozi,Swahili,80.0,kozi,Swahili,,0.0,,pending_gpu,
nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
Nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
gezako,gezako,,Unknown,geza,Swahili,80.0,geza,Swahili,,0.0,,pending_gpu,
Mulindwa,mulindwa,,Unknown,mlinda,Swahili,85.71428571428572,mlinda,Swahili,,0.0,,pending_gpu,
Nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
muwi,muwi,muwi,Swahili,,,0.0,muwi,Swahili,,0.0,,pending_gpu,
kudira,kudira,,Unknown,dira,Swahili,80.0,dira,Swahili,,0.0,,pending_gpu,
Kano,kano,,Unknown,kiano,Swahili,88.88888888888889,kiano,Swahili,,0.0,,pending_gpu,
MUZEEI,muzeei,,Unknown,mzee,Swahili,80.0,mzee,Swahili,,0.0,,pending_gpu,
Magara,magara,,Unknown,magaa,Swahili,90.9090909090909,magaa,Swahili,,0.0,,pending_gpu,
Mzeei,mzeei,,Unknown,mzee,Swahili,88.88888888888889,mzee,Swahili,,0.0,,pending_gpu,
yani,yani,yani,Swahili,,,0.0,yani,Swahili,,0.0,,pending_gpu,
jaja,jaja,jaja,Swahili,,,0.0,jaja,Swahili,,0.0,,pending_gpu,
mzee,mzee,mzee,Swahili,,,0.0,mzee,Swahili,,0.0,,pending_gpu,
Mbu,mbu,,Unknown,umbu,Swahili,85.71428571428572,umbu,Swahili,,0.0,,pending_gpu,
Mia,mia,Mia,Swahili,,,0.0,Mia,Swahili,,0.0,,pending_gpu,
Kasuku,kasuku,Kasuku,Swahili,,,0.0,Kasuku,Swahili,,0.0,,pending_gpu,
leng,leng,,Unknown,lengo,Swahili,88.88888888888889,lengo,Swahili,,0.0,,pending_gpu,
Leng,leng,,Unknown,lengo,Swahili,88.88888888888889,lengo,Swahili,,0.0,,pending_gpu,
"Leng""","leng""",,Unknown,lengo,Swahili,80.0,lengo,Swahili,,0.0,,pending_gpu,
pilili,pilili,,Unknown,pilipili,Swahili,85.71428571428572,pilipili,Swahili,,0.0,,pending_gpu,
leng,leng,,Unknown,lengo,Swahili,88.88888888888889,lengo,Swahili,,0.0,,pending_gpu,
Leng,leng,,Unknown,lengo,Swahili,88.88888888888889,lengo,Swahili,,0.0,,pending_gpu,
leng,leng,,Unknown,lengo,Swahili,88.88888888888889,lengo,Swahili,,0.0,,pending_gpu,
"leng""","leng""",,Unknown,lengo,Swahili,80.0,lengo,Swahili,,0.0,,pending_gpu,
leng,leng,,Unknown,lengo,Swahili,88.88888888888889,lengo,Swahili,,0.0,,pending_gpu,
leng,leng,,Unknown,lengo,Swahili,88.88888888888889,lengo,Swahili,,0.0,,pending_gpu,
leng,leng,,Unknown,lengo,Swahili,88.88888888888889,lengo,Swahili,,0.0,,pending_gpu,
akoogo,akoogo,,Unknown,koongo,Swahili,83.33333333333334,koongo,Swahili,,0.0,,pending_gpu,
uuuu,uuuu,,Unknown,tuutuu,Swahili,80.0,tuutuu,Swahili,,0.0,,pending_gpu,
dadi,dadi,,Unknown,idadi,Swahili,88.88888888888889,idadi,Swahili,,0.0,,pending_gpu,
dadi,dadi,,Unknown,idadi,Swahili,88.88888888888889,idadi,Swahili,,0.0,,pending_gpu,
Masivunyo,masivunyo,,Unknown,majivuno,Swahili,82.35294117647058,majivuno,Swahili,,0.0,,pending_gpu,
toyimba,toyimba,,Unknown,tomba,Swahili,83.33333333333334,tomba,Swahili,,0.0,,pending_gpu,
mwe,mwe,,Unknown,mbwe,Swahili,85.71428571428572,mbwe,Swahili,,0.0,,pending_gpu,
baddala,baddala,,Unknown,badala,Swahili,92.3076923076923,badala,Swahili,,0.0,,pending_gpu,
ninyija,ninyija,,Unknown,ninyi,Swahili,83.33333333333334,ninyi,Swahili,,0.0,,pending_gpu,
iimwe,iimwe,,Unknown,zimwe,Swahili,80.0,zimwe,Swahili,,0.0,,pending_gpu,
Babaza,babaza,,Unknown,babata,Swahili,83.33333333333334,babata,Swahili,,0.0,,pending_gpu,
angiri,angiri,,Unknown,ngiri,Swahili,90.9090909090909,ngiri,Swahili,,0.0,,pending_gpu,
ayaaa,ayaaa,,Unknown,ayala,Swahili,80.0,ayala,Swahili,,0.0,,pending_gpu,
nyooo,nyooo,,Unknown,mnyoo,Swahili,80.0,mnyoo,Swahili,,0.0,,pending_gpu,
nyoo,nyoo,,Unknown,mnyoo,Swahili,88.88888888888889,mnyoo,Swahili,,0.0,,pending_gpu,
bitufu,bitufu,,Unknown,biuu,Swahili,80.0,biuu,Swahili,,0.0,,pending_gpu,
nyoo,nyoo,,Unknown,mnyoo,Swahili,88.88888888888889,mnyoo,Swahili,,0.0,,pending_gpu,
omu,omu,,Unknown,homu,Swahili,85.71428571428572,homu,Swahili,,0.0,,pending_gpu,
kalinamu,kalinamu,,Unknown,mkalimu,Swahili,80.0,mkalimu,Swahili,,0.0,,pending_gpu,
tabba,tabba,,Unknown,taba,Swahili,88.88888888888889,taba,Swahili,,0.0,,pending_gpu,
kalina,kalina,,Unknown,kalia,Swahili,90.9090909090909,kalia,Swahili,,0.0,,pending_gpu,
